
[I 2023-08-07 12:30:27,756] A new study created in memory with name: no-name-4adda350-4943-4675-8f31-3d5c97e40c6b
[I 2023-08-07 12:32:18,528] Trial 0 finished with value: 0.480534 and parameters: {'alpha': 8, 'beta': 1.5, 'l1_in': 256, 'actor_l2_in': 192, 'actor_l3_in': 64, 'actor_l4_in': 192, 'critic_l2_in': 128, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0007}. Best is trial 0 with value: 0.480534.

[I 2023-08-07 12:34:09,652] Trial 1 finished with value: 0.48096200000000006 and parameters: {'alpha': 4, 'beta': 3.0, 'l1_in': 256, 'actor_l2_in': 64, 'actor_l3_in': 256, 'actor_l4_in': 256, 'critic_l2_in': 256, 'critic_l3_in': 64, 'critic_l4_in': 128, 'actor_lr': 0.0002}. Best is trial 1 with value: 0.48096200000000006.
[I 2023-08-07 12:35:57,966] Trial 2 finished with value: 0.49070400000000003 and parameters: {'alpha': 6, 'beta': 1.5, 'l1_in': 256, 'actor_l2_in': 192, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 64, 'actor_lr': 0.0001}. Best is trial 2 with value: 0.49070400000000003.
[I 2023-08-07 12:37:44,794] Trial 3 finished with value: 0.4806120000000001 and parameters: {'alpha': 8, 'beta': 1.5, 'l1_in': 192, 'actor_l2_in': 128, 'actor_l3_in': 256, 'actor_l4_in': 192, 'critic_l2_in': 256, 'critic_l3_in': 64, 'critic_l4_in': 256, 'actor_lr': 0.0008}. Best is trial 2 with value: 0.49070400000000003.
[I 2023-08-07 12:39:27,355] Trial 4 finished with value: 0.48302000000000006 and parameters: {'alpha': 6, 'beta': 1.5, 'l1_in': 192, 'actor_l2_in': 128, 'actor_l3_in': 64, 'actor_l4_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0007}. Best is trial 2 with value: 0.49070400000000003.
[I 2023-08-07 12:41:15,592] Trial 5 finished with value: 0.636876 and parameters: {'alpha': 4, 'beta': 3.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 192, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 5 with value: 0.636876.
[I 2023-08-07 12:43:09,622] Trial 6 finished with value: 0.54754 and parameters: {'alpha': 4, 'beta': 3.0, 'l1_in': 128, 'actor_l2_in': 128, 'actor_l3_in': 192, 'actor_l4_in': 64, 'critic_l2_in': 256, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0009}. Best is trial 5 with value: 0.636876.
[I 2023-08-07 12:44:56,683] Trial 7 finished with value: 0.48678 and parameters: {'alpha': 6, 'beta': 2.5, 'l1_in': 192, 'actor_l2_in': 256, 'actor_l3_in': 192, 'actor_l4_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 64, 'critic_l4_in': 192, 'actor_lr': 0.0002}. Best is trial 5 with value: 0.636876.
[I 2023-08-07 12:46:34,895] Trial 8 finished with value: 0.48380800000000007 and parameters: {'alpha': 8, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 256, 'actor_l4_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 128, 'critic_l4_in': 64, 'actor_lr': 0.0008}. Best is trial 5 with value: 0.636876.
[I 2023-08-07 12:48:24,224] Trial 9 finished with value: 0.606814 and parameters: {'alpha': 4, 'beta': 3.0, 'l1_in': 64, 'actor_l2_in': 128, 'actor_l3_in': 256, 'actor_l4_in': 256, 'critic_l2_in': 256, 'critic_l3_in': 256, 'critic_l4_in': 64, 'actor_lr': 0.0005}. Best is trial 5 with value: 0.636876.
[I 2023-08-07 12:50:08,135] Trial 10 finished with value: 0.780804 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 10 with value: 0.780804.
[I 2023-08-07 12:51:55,347] Trial 11 finished with value: 0.791296 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 12:53:39,358] Trial 12 finished with value: 0.776148 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 12:55:24,323] Trial 13 finished with value: 0.5081800000000001 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0004}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 12:57:05,005] Trial 14 finished with value: 0.483138 and parameters: {'alpha': 10, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 128, 'actor_lr': 0.0006}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 12:58:51,204] Trial 15 finished with value: 0.5221 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 256, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0003}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:00:36,538] Trial 16 finished with value: 0.788948 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:02:18,435] Trial 17 finished with value: 0.789928 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
