[I 2023-08-09 11:49:51,247] A new study created in memory with name: no-name-8317af28-a39a-4a42-8212-236995cba082
[I 2023-08-09 11:51:42,513] Trial 0 finished with value: 0.4919720000000001 and parameters: {'alpha': 8, 'beta': 1.5, 'l1_in': 256, 'actor_l2_in': 128, 'actor_l3_in': 192, 'actor_l4_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 128, 'actor_lr': 0.0002}. Best is trial 0 with value: 0.4919720000000001.
[I 2023-08-09 11:53:26,147] Trial 1 finished with value: 0.4860480000000001 and parameters: {'alpha': 6, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 64, 'actor_l4_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0005}. Best is trial 0 with value: 0.4919720000000001.
[I 2023-08-09 11:55:21,638] Trial 2 finished with value: 0.791756 and parameters: {'alpha': 2, 'beta': 3.0, 'l1_in': 64, 'actor_l2_in': 256, 'actor_l3_in': 256, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 11:57:08,306] Trial 3 finished with value: 0.5214920000000001 and parameters: {'alpha': 6, 'beta': 2.5, 'l1_in': 192, 'actor_l2_in': 64, 'actor_l3_in': 64, 'actor_l4_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0003}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 11:59:04,328] Trial 4 finished with value: 0.614732 and parameters: {'alpha': 8, 'beta': 3.0, 'l1_in': 256, 'actor_l2_in': 256, 'actor_l3_in': 192, 'actor_l4_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 64, 'actor_lr': 0.0006}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:00:58,976] Trial 5 finished with value: 0.54524 and parameters: {'alpha': 8, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 256, 'actor_l4_in': 256, 'critic_l2_in': 192, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0008}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:02:57,022] Trial 6 finished with value: 0.5201200000000001 and parameters: {'alpha': 8, 'beta': 1.5, 'l1_in': 192, 'actor_l2_in': 192, 'actor_l3_in': 256, 'actor_l4_in': 256, 'critic_l2_in': 192, 'critic_l3_in': 64, 'critic_l4_in': 256, 'actor_lr': 0.0002}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:04:41,739] Trial 7 finished with value: 0.540328 and parameters: {'alpha': 8, 'beta': 2.5, 'l1_in': 256, 'actor_l2_in': 192, 'actor_l3_in': 128, 'actor_l4_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 128, 'critic_l4_in': 128, 'actor_lr': 0.0005}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:06:27,112] Trial 8 finished with value: 0.682784 and parameters: {'alpha': 2, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 128, 'actor_l3_in': 64, 'actor_l4_in': 192, 'critic_l2_in': 256, 'critic_l3_in': 64, 'critic_l4_in': 64, 'actor_lr': 0.0007}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:08:11,531] Trial 9 finished with value: 0.595686 and parameters: {'alpha': 8, 'beta': 2.5, 'l1_in': 192, 'actor_l2_in': 64, 'actor_l3_in': 192, 'actor_l4_in': 256, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 128, 'actor_lr': 0.0004}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:10:05,142] Trial 10 finished with value: 0.7125640000000001 and parameters: {'alpha': 2, 'beta': 3.0, 'l1_in': 64, 'actor_l2_in': 256, 'actor_l3_in': 256, 'actor_l4_in': 192, 'critic_l2_in': 256, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 2 with value: 0.791756.
