[I 2023-08-14 18:11:13,464] A new study created in memory with name: no-name-3c5516c4-bc42-48d2-a02d-3ee9653638ca
[I 2023-08-14 18:12:23,630] Trial 0 finished with value: 0.79958 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 64, 'critic_l2_in': 192, 'actor_lr': 0.0003}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:13:30,424] Trial 1 finished with value: 0.622376 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 512, 'critic_l2_in': 192, 'actor_lr': 0.0003}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:14:38,307] Trial 2 finished with value: 0.78218 and parameters: {'alpha': 2, 'beta': 2.5, 'actor_l2_in': 64, 'critic_l2_in': 512, 'actor_lr': 0.0002}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:15:48,934] Trial 3 finished with value: 0.774294 and parameters: {'alpha': 2, 'beta': 3.0, 'actor_l2_in': 64, 'critic_l2_in': 256, 'actor_lr': 0.0002}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:16:58,842] Trial 4 finished with value: 0.793206 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'critic_l2_in': 512, 'actor_lr': 0.0006}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:18:04,019] Trial 5 finished with value: 0.689152 and parameters: {'alpha': 2, 'beta': 2.5, 'actor_l2_in': 512, 'critic_l2_in': 256, 'actor_lr': 0.0001}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:19:12,773] Trial 6 finished with value: 0.48399800000000004 and parameters: {'alpha': 2, 'beta': 2.5, 'actor_l2_in': 256, 'critic_l2_in': 64, 'actor_lr': 0.0009}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:20:22,955] Trial 7 finished with value: 0.609754 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 128, 'critic_l2_in': 64, 'actor_lr': 0.0008}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:21:34,111] Trial 8 finished with value: 0.6907080000000001 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 128, 'critic_l2_in': 128, 'actor_lr': 0.0009}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:22:40,258] Trial 9 finished with value: 0.749432 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'critic_l2_in': 512, 'actor_lr': 0.0004}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:23:50,904] Trial 10 finished with value: 0.779344 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 64, 'critic_l2_in': 192, 'actor_lr': 0.0005}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:25:03,075] Trial 11 finished with value: 0.7814859999999999 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'critic_l2_in': 192, 'actor_lr': 0.0006}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:26:13,192] Trial 12 finished with value: 0.7109199999999999 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'critic_l2_in': 512, 'actor_lr': 0.0006}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:27:19,050] Trial 13 finished with value: 0.7623099999999999 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 256, 'critic_l2_in': 128, 'actor_lr': 0.0003}. Best is trial 0 with value: 0.79958.
