[I 2023-08-14 14:14:09,402] A new study created in memory with name: no-name-4bc40c69-5cfb-4fc7-ab69-d4cc34c1101c
[I 2023-08-14 14:15:25,949] Trial 0 finished with value: 0.6924720000000001 and parameters: {'alpha': 4, 'beta': 1.5, 'actor_l2_in': 128, 'actor_l3_in': 64, 'critic_l2_in': 256, 'critic_l3_in': 128, 'actor_lr': 0.0004}. Best is trial 0 with value: 0.6924720000000001.
[I 2023-08-14 14:16:40,698] Trial 1 finished with value: 0.6712519999999998 and parameters: {'alpha': 2, 'beta': 2.5, 'actor_l2_in': 192, 'actor_l3_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 128, 'actor_lr': 0.0002}. Best is trial 0 with value: 0.6924720000000001.
[I 2023-08-14 14:17:59,904] Trial 2 finished with value: 0.733086 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'actor_l3_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0008}. Best is trial 2 with value: 0.733086.
[I 2023-08-14 14:19:19,667] Trial 3 finished with value: 0.736966 and parameters: {'alpha': 4, 'beta': 1.5, 'actor_l2_in': 64, 'actor_l3_in': 192, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0004}. Best is trial 3 with value: 0.736966.
[I 2023-08-14 14:20:39,582] Trial 4 finished with value: 0.7610059999999998 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'actor_l3_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 4 with value: 0.7610059999999998.
[I 2023-08-14 14:21:55,815] Trial 5 finished with value: 0.811786 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 192, 'actor_l3_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 192, 'actor_lr': 0.0009}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:23:10,450] Trial 6 finished with value: 0.7219439999999999 and parameters: {'alpha': 4, 'beta': 1.5, 'actor_l2_in': 192, 'actor_l3_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 256, 'actor_lr': 0.0006}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:24:26,046] Trial 7 finished with value: 0.7230719999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'actor_l2_in': 256, 'actor_l3_in': 192, 'critic_l2_in': 128, 'critic_l3_in': 64, 'actor_lr': 0.0002}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:25:43,069] Trial 8 finished with value: 0.8022120000000001 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:27:05,786] Trial 9 finished with value: 0.763228 and parameters: {'alpha': 2, 'beta': 2.5, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 64, 'actor_lr': 0.0009}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:28:30,282] Trial 10 finished with value: 0.7585259999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 256, 'actor_l3_in': 256, 'critic_l2_in': 192, 'critic_l3_in': 192, 'actor_lr': 0.0005}. Best is trial 5 with value: 0.811786.
